trainNo,trainName,fromStation,toStation
74016,Jind Rewari DEMU,Jind Junction,Rewari Junction
54050,Jind Rohtak Passenger,Jind Junction,Rohtak Junction
54006,Jind Rohtak Passenger,Jind Junction,Rohtak Junction
54008,Jind Rohtak Passenger,Jind Junction,Rohtak Junction
74030,Jind Sonipat DEMU,Jind Junction,Sonipat
74040,Jind Sonipat DEMU,Jind Junction,Sonipat
74020,Jind Sonipat DEMU,Jind Junction,Sonipat
12101,Jnaneswari Express,Lokmanya Tilak Terminus,Kolkata Shalimar
59124,Jobat Pratapnagar Passenger,Jobat,Pratapnagar
54803,Jodhpur Ahmedabad Passenger,Sikar Junction,Rewari Junction
74843,Jodhpur Barmer DEMU,Jaisalmer,Bhagat Ki Kothi
14895,Jodhpur Barmer DEMU Express,Bhagat Ki Kothi,Barmer
54813,Jodhpur Barmer Passenger,Jodhpur Junction,Barmer
14721,Jodhpur Bathinda Express,Jodhpur Junction,Bathinda Junction
54704,Jodhpur Bathinda Passenger,Jaipur Junction,Bathinda Junction
14813,Jodhpur Bhopal Express,Jodhpur Junction,Bhopal Junction
54825,Jodhpur Bilara Passenger,Jodhpur Junction,Bilara
14807,Jodhpur Dadar Western Express,Jodhpur Junction,Dadar (WR)
12464,Jodhpur Delhi Sarai Rohilla Rajasthan Sampark Kranti Express,Jodhpur Junction,Delhi Sarai Rohilla
22481,Jodhpur Delhi Sarai Rohilla Super Fast Express,Jodhpur Junction,Delhi Sarai Rohilla
22996,Jodhpur Delhi Super Fast Express,Jodhpur Junction,Delhi Junction
22483,Jodhpur Gandhidham Super Fast Express,Jodhpur Junction,Gandhidham Junction
14891,Jodhpur Hisar Express,Jodhpur Junction,Hisar Junction
12308,Jodhpur Howrah Superfast Express,Jodhpur Junction,Howrah Junction
14801,Jodhpur Indore Express,Jodhpur Junction,Indore Junction
22978,Jodhpur Jaipur Intercity Super Fast Express,Jodhpur Junction,Khatipura
15623,Jodhpur Kamakhya Express,Jodhpur Junction,Kamakhya Junction
16507,Jodhpur KSR Bengaluru Express,Jodhpur Junction,KSR Bengaluru City Junction
22673,Jodhpur Mannargudi Super Fast Express,Jodhpur Junction,Mannargudi
14893,Jodhpur Palanpur DEMU Express,Bhagat Ki Kothi,Palanpur Junction
20814,Jodhpur Puri Super Fast Express,Jodhpur Junction,Puri
4833,Jodhpur Ramdevra Special,Jodhpur Junction,Ramdevra
14823,Jodhpur Rewari Express,Jodhpur Junction,Rewari Junction
14821,Jodhpur Sabarmati Express,Jodhpur Junction,Sabarmati Bg
20485,Jodhpur Sabarmati Intercity Super Fast Express,Jodhpur Junction,Sabarmati Bg
12461,Jodhpur Sabarmati Vande Bharat Express,Jodhpur Junction,Sabarmati Bg
22664,Jodhpur Tambaram Weekly Super Fast Express,Jodhpur Junction,Tambaram
20481,Jodhpur Tiruchchirappalli Humsafar Express,Jodhpur Junction,Tiruchirappalli
14854,Jodhpur Varanasi Marudhar Express,Jodhpur Junction,Varanasi City
75754,Jogbani Katihar DEMU,Jogbani,Katihar Junction
75756,Jogbani Katihar DEMU,Jogbani,Katihar Junction
75758,Jogbani Katihar DEMU,Jogbani,Katihar Junction
75760,Jogbani Katihar DEMU,Jogbani,Katihar Junction
75762,Jogbani Katihar DEMU,Jogbani,Katihar Junction
75746,Jogbani Katihar DEMU,Jogbani,Katihar Junction
7564,Jogbani Katihar Special,Jogbani,Katihar Junction
13160,Jogbani Kolkata Express,Jogbani,Kolkata
15502,Jogbani Raxaul Express,Jogbani,Raxaul Junction
15723,Jogbani Siliguri Intercity Express,Jogbani,Siliguri Town
52470,Joginder Nagar Baijnath Paprola Passenger,Joginder Nagar,Baijnath Paprola
52472,Joginder Nagar Baijnath Paprola Passenger,Joginder Nagar,Baijnath Paprola
16086,Jolarpettai Arakkonam MEMU Express,Jolarpettai Junction,Arakkonam Junction
56811,Jolarpettai Erode Passenger,Jolarpettai Junction,Erode Junction
56107,Jolarpettai Erode Passenger,Jolarpettai Junction,Erode Junction
66549,Jolarpettai KSR Bengaluru Memu,Jolarpettai Junction,KSR Bengaluru City Junction
16519,Jolarpettai KSR Bengaluru MEMU Express,Jolarpettai Junction,KSR Bengaluru City Junction
12068,Jorhat Guwahati Jan Shatabdi Express,Jorhat Town,Guwahati
55913,Jorhat Tinsukia Passenger,Jorhat Town,Tinsukia Junction
52956,Junagadh Amreli MG Passenger,Junagadh Junction,Amreli
52952,Junagadh Delvada MG Passenger,Junagadh Junction,Delvada
20838,Junagarh Road Bhubaneswar Express,Junagarh Road,Bhubaneswar
58208,Junagarh Road Raipur Passenger,Junagarh Road,Raipur Junction
58304,Junagarh Road Sambalpur Passenger,Junagarh Road,Sambalpur Junction
52462,Jwalamukhi Road Pathankot Passenger,Jwalamukhi Road,Pathankot Junction
22691,K S R Bengaluru Hazrat Nizamuddin Rajdhani Express,KSR Bengaluru City Junction,Hazrat Nizamuddin
17391,K S R Bengaluru SSS Hubballi Express,KSR Bengaluru City Junction,Hubballi Junction
56626,Kabakaputtur Mangaluru Passenger,Kabaka Puttur,Mangaluru Central
7795,Kacheguda - Tirupati Special Fare Special,Kacheguda,Tirupati
17639,Kacheguda Akola Intercity Express,Kacheguda,Akola Junction
7053,Kacheguda Bikaner Special,Kacheguda,Bikaner Junction
17652,Kacheguda Chengalpattu Express,Kacheguda,Chengalpattu Junction
57412,Kacheguda Guntakal Passenger,Kacheguda,Guntakal Junction
17252,Kacheguda Guntur Express,Kacheguda,Guntur Junction
7717,Kacheguda Hisar AC Summer Special,Kacheguda,Hisar Junction
77649,Kacheguda Karimnagar DEMU,Kacheguda,Karimnagar
17435,Kacheguda Kurnool City Express,Kacheguda,Kurnool City
7191,Kacheguda Madurai Special,Kacheguda,Madurai Junction
22715,Kacheguda Madurai Super Fast Weekly Express,Kacheguda,Madurai Junction
77641,Kacheguda Mahbubnagar DEMU,Kacheguda,Mahbubnagar
67781,Kacheguda Mahbubnagar MEMU,Kacheguda,Mahbubnagar
17064,Kacheguda Manmad Ajanta Express,Kacheguda,Manmad Junction
77603,Kacheguda Medak DEMU,Kacheguda,Medak
12789,Kacheguda Murdeshwar Super Fast Express,Ashokapuram,Kacheguda
12785,Kacheguda Mysuru Super Fast Express,Kacheguda,Mysuru City Junction
67779,Kacheguda Nadikude MEMU,Kacheguda,Nadikude Junction
17661,Kacheguda Nagarsol Express,Kacheguda,Nagarsol
16353,Kacheguda Nagercoil Weekly Express,Kacheguda,Nagercoil Junction
7435,Kacheguda Nagercoil Weekly Special,Kacheguda,Nagercoil Junction
17641,Kacheguda Narkher Intercity Express,Kacheguda,Narkher Junction
77601,Kacheguda Nizamabad DEMU,Kacheguda,Nizamabad Junction
77643,Kacheguda Nizamabad DEMU,Kacheguda,Nizamabad Junction
17653,Kacheguda Puducherry Express,Kacheguda,Puducherry
77605,Kacheguda Purna DEMU,Kacheguda,Purna Junction
77647,Kacheguda Raichur DEMU,Kacheguda,Raichur Junction
17693,Kacheguda Raichur MEMU Express,Kacheguda,Raichur Junction
17603,Kacheguda Yelahanka Express,Kacheguda,Yelahanka Junction
20703,Kacheguda Yesvantpur Vande Bharat Express,Kacheguda,Yesvantpur Junction
57406,Kadiridevarapalli Tirupati Passenger,Kadiridevara Palli,Tirupati
12757,Kaghaznagar Super Fast Express,Secunderabad Junction,Sirpur Kaghaznagar
12758,Kaghaznagar Super Fast Express,Sirpur Kaghaznagar,Secunderabad Junction
12226,Kaifiyaat Super Fast Express,Delhi Junction,Azamgarh
12225,Kaifiyaat Super Fast Express,Azamgarh,Delhi Junction
64636,Kailaras Gwalior MEMU,Kailaras,Gwalior Junction
64638,Kailaras Gwalior MEMU,Kailaras,Gwalior Junction
64640,Kailaras Gwalior MEMU,Kailaras,Gwalior Junction
17659,Kakatiya Express,Secunderabad Junction,Bhadrachalam Road
17660,Kakatiya Express,Bhadrachalam Road,Secunderabad Junction
7214,Kakinada Charlapalli Sankranti Special,Kakinada Town Junction,Charlapalli
7032,Kakinada Charlapalli Special,Kakinada Town Junction,Charlapalli
7452,Kakinada Hyderabad New Year Special,Kakinada Town Junction,Hyderabad Deccan
7654,Kakinada Kacheguda Sankranti Special,Kakinada Town Junction,Kacheguda
7179,Kakinada Kollam Sabarimala Special,Kakinada Town Junction,Kollam Junction
7445,Kakinada Lingampalli Special,Kakinada Town Junction,Lingampalli
12755,Kakinada Port Bhavnagar Weekly Superfast Express,Kakinada Port,Bhavnagar Terminus
17644,Kakinada Port Chengalpattu Circar Express,Kakinada Port,Chengalpattu Junction
17221,Kakinada Port Mumbai LTT Express,Kakinada Port,Lokmanya Tilak Terminus
17655,Kakinada Port Puducherry Circar Express,Kakinada Port,Puducherry
17206,Kakinada Port Sainagar Shirdi Express,Kakinada Port,Sainagar Shirdi Terminus
67242,Kakinada Port Vijayawada Memu,Bhimavaram Junction,Nidadavolu Junction
17258,Kakinada Port Vijayawada MEMU Express,Kakinada Port,Vijayawada Junction
67243,Kakinada Port Visakhapatnam Memu,Nidadavolu Junction,Narasapur
17267,Kakinada Port Visakhapatnam MEMU Express,Kakinada Port,Visakhapatnam Junction
17250,Kakinada Town Tirupati Express,Kakinada Town Junction,Tirupati
77632,Kalaburagi Bidar DEMU,Kalaburagi Junction,Bidar
77634,Kalaburagi Bidar DEMU,Kalaburagi Junction,Bidar
77638,Kalaburagi Bidar DEMU,Kalaburagi Junction,Bidar
77656,Kalaburagi Bidar DEMU,Siddipet,Secunderabad Junction
77636,Kalaburagi Bidar DEMU,Kalaburagi Junction,Bidar
1422,Kalaburagi Daund Special,Kalaburagi Junction,Daund Junction
1426,Kalaburagi Daund Special,Kalaburagi Junction,Daund Junction
22155,Kalaburagi Scsmt Kolhapur Super Fast Express,Kalaburagi Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
6520,Kalaburagi SMVT Bengaluru Summer Special,Kalaburagi Junction,Sir Mokshagundam Visvesvaraya Terminal
22231,Kalaburagi SMVT Bengaluru Vande Bharat Express,Kalaburagi Junction,Sir Mokshagundam Visvesvaraya Terminal
1466,Kalaburagi Solapur AC Super Fast Special,Kalaburagi Junction,Solapur Junction
52966,Kalakund Patalpani Heritage Train,Kalakund,Patal Pani
51120,Kalamb Wardha Passenger,Kalamb,Wardha Junction
14724,Kalindi Express,Bhiwani Junction,Prayagraj Junction
18478,Kalinga Utkal Express,Yog Nagari Rishikesh,Puri
18477,Kalinga Utkal Express,Puri,Yog Nagari Rishikesh
54532,Kalka Ambala Cantonmentpassenger,Kalka,Ambala Cantonment
14332,Kalka Delhi Express,Kalka,Delhi Junction
12012,Kalka New Delhi Shatabdi Express,Kalka,New Delhi
12006,Kalka New Delhi Shatabdi Express,Kalka,New Delhi
22456,Kalka Sai Nagar Shirdi Super Fast Express,Kalka,Sainagar Shirdi Terminus
52457,Kalka Shimla Express,Kalka,Shimla
52453,Kalka Shimla Express,Kalka,Shimla
52445,Kalka Shimla HSP Passenger,Kalka,Shimla
14503,Kalka Shri Mata Vaishno Devi Katra Express,Kalka,Shri Mata Vaishno Devi Katra
4563,Kalka Simla Special,Kalka,Shimla
2525,Kamakhya Anand Vihar Terminal Super Fast Special,Kamakhya Junction,Anand Vihar Terminus
15621,Kamakhya Anand Vihar Terminal Weekly Express,Kamakhya Junction,Anand Vihar Terminus
15624,Kamakhya Bhagat Ki Kothi Express,Kamakhya Junction,Jodhpur Junction
19306,Kamakhya DR Ambedkar Nagar Weekly Express,Kamakhya Junction,Dr Ambedkar Nagar
15668,Kamakhya Gandhidham Express,Kamakhya Junction,Gandhidham Junction
5668,Kamakhya Gandhidham Special,Sabroom,Agartala
15620,Kamakhya Gaya Weekly Express,Kamakhya Junction,Gaya Junction
15077,Kamakhya Gomti Nagar Weekly Express,Kamakhya Junction,Gomti Nagar
5081,Kamakhya Gorakhpur Puja Special,Kamakhya Junction,Gorakhpur Junction
22512,Kamakhya Mumbai LTT Karmabhoomi Express,Kamakhya Junction,Lokmanya Tilak Terminus
15640,Kamakhya Puri Express,Kamakhya Junction,Puri
15644,Kamakhya Puri Express,Kamakhya Junction,Puri
13247,Kamakhya Rajendra Nagar Terminal Capital Express,Kamakhya Junction,Rajendra Nagar Terminal (Patna)
15662,Kamakhya Ranchi Weekly Express,Kamakhya Junction,Ranchi Junction
15655,Kamakhya Shri Mata Vaishno Devi Katra Weekly Express,Kamakhya Junction,Shri Mata Vaishno Devi Katra
12552,Kamakhya SMVT Bengaluru AC Super Fast Express,Kamakhya Junction,Sir Mokshagundam Visvesvaraya Terminal
19616,Kamakhya Udaipur City Kavi Guru Express,Kamakhya Junction,Udaipur City
11071,Kamayani Express,Lokmanya Tilak Terminus,Ballia
11072,Kamayani Express,Ballia,Lokmanya Tilak Terminus
15527,Kamla Ganga Express,Jaynagar,Patna Junction
15528,Kamla Ganga Express,Patna Junction,Jaynagar
15961,Kamrup Express,Howrah Junction,Dibrugarh
15959,Kamrup Express,Howrah Junction,Dibrugarh
15960,Kamrup Express,Dibrugarh,Howrah Junction
15962,Kamrup Express,Dibrugarh,Howrah Junction
59205,Kanalus Porbandar Passenger,Kanalus Junction,Porbandar
13150,Kanchankanya Express,Alipurduar Junction,Sealdah
13149,Kanchankanya Express,Sealdah,Alipurduar Junction
22897,Kandari Express,Howrah Junction,Digha
22898,Kandari Express,Digha,Howrah Junction
7229,Kanniyakumari Charlapalli Summer Special,Kanniyakumari,Charlapalli
12634,Kanniyakumari Chennai Egmore Super Fast Express,Kanniyakumari,Chennai Egmore
22503,Kanniyakumari Dibrugarh Vivek Super Fast Express,Kanniyakumari,Dibrugarh
12666,Kanniyakumari Howrah Super Fast Express,Kanniyakumari,Howrah Junction
66305,Kanniyakumari Kollam MEMU,Kanniyakumari,Kollam Junction
16525,Kanniyakumari KSR Bengaluru Express,Kanniyakumari,KSR Bengaluru City Junction
6090,Kanniyakumari MGR Chennai Puthandu Special,Kanniyakumari,Puratchi Thalaivar Dr. MGR Central
1006,Kanniyakumari Mumbai CSMT Super Fast Summer Special,Kanniyakumari,Chhatrapati Shivaji Maharaj Terminus
16862,Kanniyakumari Puducherry Express,Kanniyakumari,Puducherry
56716,Kanniyakumari Punalur Passenger,Rameswaram,Madurai Junction
56706,Kanniyakumari Punalur Passenger,Kanniyakumari,Punalur
16382,Kanniyakumari Pune Express,Kanniyakumari,Pune Junction
22622,Kanniyakumari Rameswaram Super Fast Express,Kanniyakumari,Rameswaram
56717,Kanniyakumari Tirunelveli Passenger,Kannur Main,Mangaluru Central
16308,Kannur Alappuzha Executive Express,Kannur Main,Alappuzha
16607,Kannur Coimbatore Express,Kannur Main,Coimbatore Junction
16306,Kannur Ernakulam Intercity Express,Kannur Main,Ernakulam Junction
16512,Kannur KSR Bengaluru Express,Kannur Main,KSR Bengaluru City Junction
56602,Kannur Shoranur Passenger,Shoranur Junction,Kozhikode Main
6032,Kannur Shoranur Passenger Special,Kannur Main,Shoranur Junction
12081,Kannur Thiruvananthapuram Jan Shatabdi Express,Kannur Main,Trivandrum Central
16528,Kannur Yesvantpur Express,Kannur Main,Yesvantpur Junction
1905,Kanpur Ahmedabad Super Fast Special,Kanpur Central,Asarva Junction
22445,Kanpur Amritsar Weekly Super Fast Express,Kanpur Central,Amritsar Junction
14151,Kanpur Anand Vihar Terminal Express,Kanpur Central,Anand Vihar Terminus
55347,Kanpur Anwarganj Farrukhabad Passenger,Kanpur Anwarganj,Farrukhabad Junction
54157,Kanpur Anwarganj Farrukhabad Passenger,Kanpur Anwarganj,Farrukhabad Junction
15037,Kanpur Anwarganj Kasganj Express,Kanpur Anwarganj,Kasganj Junction
15039,Kanpur Anwarganj Kasganj Express,Kanpur Anwarganj,Kasganj Junction
9186,Kanpur Anwarganj Mumbai Super Fast Summer Special,Kanpur Anwarganj,Mumbai Central
54102,Kanpur Anwarganj Prayagraj Sangam Passenger,Kanpur Anwarganj,Prayagraj Sangam
54336,Kanpur Balamau Passenger,Kanpur Central,Balamau Junction
22443,Kanpur Bandra Weekly Super Fast Express,Kanpur Central,Bandra Terminus
4153,Kanpur Bhagalpur Maha Kumbh Mela Special,Kanpur Central,Kolkata
4202,Kanpur Bridge Left Bank Unchahar Special,Kanpur Bridge Left Bank,Unchahar Junction
14110,Kanpur Chitrakutdham Karwi Intercity Express,Kanpur Central,Chitrakut Dham Karwi
22442,Kanpur Chitrakutdham Karwi Intercity Express,Kanpur Central,Chitrakut Dham Karwi
64603,Kanpur Etawah MEMU,Kanpur Central,Etawah Junction
54155,Kanpur Farrukhabad Passenger,Kanpur Central,Farrukhabad Junction
64594,Kanpur Fatehpur MEMU,Kanpur Central,Fatehpur
12469,Kanpur Jammu Tawi Super Fast Express,Kanpur Central,Jammu Tawi
12209,Kanpur Kathgodam Garib Rath Express,Kanpur Central,Kathgodam
64646,Kanpur Khajuraho MEMU,Kanpur Central,Khajuraho
54162,Kanpur Khajuraho Passenger,Kanpur Central,Khajuraho
64204,Kanpur Lucknow MEMU,Kanpur Central,Lucknow Charbagh NR
64212,Kanpur Lucknow MEMU,Kanpur Central,Lucknow Charbagh NR
64214,Kanpur Lucknow MEMU,Kanpur Central,Lucknow Charbagh NR
4151,Kanpur Mumbai LTT Super Fast Special,Kanpur Central,Lokmanya Tilak Terminus
12033,Kanpur New Delhi Shatabdi Express,Kanpur Central,New Delhi
64629,Kanpur Phaphund MEMU,Kanpur Central,Phaphund
64589,Kanpur Phaphund MEMU,Kanpur Central,Phaphund
14124,Kanpur Pratapgarh Intercity Express,Kanpur Central,Maa Belha Devi Dham Pratapgarh Junction
14102,Kanpur Prayagraj Sangam Intercity Express,Kanpur Central,Prayagraj Sangam
54154,Kanpur Rae Bareli Passenger,Kanpur Central,Rae Bareli Junction
54326,Kanpur Sitapur City Passenger,Kanpur Central,Sitapur City Junction
64592,Kanpur Subedarganj MEMU,Kanpur Central,Subedarganj
64587,Kanpur Tundla MEMU,Kanpur Central,Tundla Junction
64608,Kanpur VGL Jhansi MEMU,Kanpur Central,Virangana Lakshmibai Jhansi Junction
22862,Kantabanji Howrah Ispat Express,Kantabanji,Howrah Junction
6903,Kanyakumari Shri Mata Vaishno Devi Katra,Kanniyakumari,Shri Mata Vaishno Devi Katra
5200,Kaptanganj Thawe Chhath Puja Special,Kaptanganj Junction,Thawe Junction
55108,Kaptanganj Thawe Passenger,Kaptanganj Junction,Thawe Junction
55116,Kaptanganj Thawe Passenger,Kaptanganj Junction,Thawe Junction
16530,Karaikal Baiyappanahalli Express,Karaikal,Sir Mokshagundam Visvesvaraya Terminal
11018,Karaikal Mumbai LTT Weekly Express,Karaikal,Lokmanya Tilak Terminus
76803,Karaikal Thanjavur DEMU,Karaikal,Thanjavur Junction
16176,Karaikkal Chennai Egmore Express,Karaikal,Tambaram
16187,Karaikkal Ernakulam Express,Karaikal,Ernakulam Junction
6198,Karaikkudi Thiruvarur Passenger,Karaikkudi Junction,Thiruvarur Junction
76830,Karaikkudi Tiruchchirappalli DEMU,Thiruvarur Junction,Agastiyampalli
76837,Karaikkudi virudhunagar DEMU,Nagappattinam Junction,Velankanni
56833,Karaikkudi virudhunagar Passenger,Karaikkudi Junction,Virudunagar Junction
17304,Karatagi SSS Hubballi Express,Surendranagar Jn,Hubballi Junction
75680,Karimganj Agartala DEMU,Karimganj Junction,Agartala
67773,Karimnagar Bodhan MEMU,Karimnagar,Bodhan
77650,Karimnagar Kacheguda DEMU,Karimnagar,Kacheguda
67772,Karimnagar Sirpur MEMU,Karimnagar,Sirpur Town
12762,Karimnagar Tirupati Super Fast Express,Karimnagar,Tirupati
1152,Karmali Mumbai CSMT Summer Special,Karmali,Chhatrapati Shivaji Maharaj Terminus
1052,Karmali Mumbai LTT AC Summer Special,Karmali,Lokmanya Tilak Terminus
22116,Karmali Mumbai LTT AC Super Fast Express,Karmali,Lokmanya Tilak Terminus
1130,Karmali Mumbai LTT Summer Special,Karmali,Lokmanya Tilak Terminus
12628,Karnataka Express,New Delhi,KSR Bengaluru City Junction
12627,Karnataka Express,KSR Bengaluru City Junction,New Delhi
12629,Karnataka Sampark Kranti Express,Yesvantpur Junction,Hazrat Nizamuddin
12630,Karnataka Sampark Kranti Express,Hazrat Nizamuddin,Yesvantpur Junction
12649,Karnataka Sampark Kranti Express,Yesvantpur Junction,Hazrat Nizamuddin
12650,Karnataka Sampark Kranti Express,Hazrat Nizamuddin,Yesvantpur Junction
12934,Karnavati Express,Ahmedabad Junction,Mumbai Central
12933,Karnavati Express,Mumbai Central,Vatva
56106,Karur - Salem Passenger,Erode Junction,Tiruchirappalli
76824,Karur Salem DEMU,Karur Junction,Salem Junction
76810,Karur Tiruchchirappalli DEMU,Karur Junction,Tiruchirappalli
76836,Karur trichy DEMU,Dindigul Junction,Tiruchirappalli
70102,Karwar Madgaon MEMU Express,Karwar,Madgaon Junction
1595,Karwar Madgaon Special,Karwar,Madgaon Junction
16516,Karwar Yesvantpur Express,Karwar,Yesvantpur Junction
20633,Kasaragod Thiruvananthapuram Vande Bharat Express,Kasaragod,Trivandrum Central
55337,Kasganj Achhnera Fast Passenger,Kasganj Junction,Bharatpur Junction
55331,Kasganj Achhnera Passenger,Kasganj Junction,Achhnera Junction
55333,Kasganj Agra Fort Passenger,Kasganj Junction,Agra Fort
55329,Kasganj Bareilly City Fast Passenger,Kasganj Junction,Bareilly City
55343,Kasganj Bareilly City Passenger,Farrukhabad Junction,Kasganj Junction
55345,Kasganj Bareilly City Passenger,Lucknow Junction,Kasganj Junction
55327,Kasganj Bareilly City Passenger,Kasganj Junction,Bareilly City
55341,Kasganj Bharatpur Passenger,Shikohabad Junction,Kasganj Junction
15042,Kasganj Farrukhabad Express,Kasganj Junction,Farrukhabad Junction
15038,Kasganj Kanpur Anwarganj Express,Kasganj Junction,Kanpur Anwarganj
15040,Kasganj Kanpur Anwarganj Express,Kasganj Junction,Kanpur Anwarganj
55307,Kasganj Kashipur Passenger,Kasganj Junction,Kashipur Junction
15061,Kasganj Lal Kuan Express,Kasganj Junction,Lal Kuan Junction
55311,Kasganj Lal Kuan Passenger,Kasganj Junction,Lal Kuan Junction
55335,Kasganj Mathura Passenger,Kasganj Junction,Mathura Junction
55339,Kasganj Mathura Passenger,Kasganj Junction,Mathura Junction
55353,Kasganj Mathura Passenger,Pilibhit Junction,Shahjahanpur
5451,Kasganj Tanakpur Mela Special,Kasganj Junction,Tanakpur
15017,Kashi Express,Lokmanya Tilak Terminus,Gorakhpur Junction
20413,Kashi Mahakal Super Fast Express,Varanasi Junction,Indore Junction
20414,Kashi Mahakal Super Fast Express,Indore Junction,Varanasi Junction
20416,Kashi Mahakal Super Fast Express,Indore Junction,Varanasi Junction
20415,Kashi Mahakal Super Fast Express,Varanasi Junction,Indore Junction
16367,Kashi Tamil Sangamam Weekly Express,Kanniyakumari,Banaras
16368,Kashi Tamil Sangamam Weekly Express,Banaras,Kanniyakumari
15128,Kashi Vishwanath Express,New Delhi,Banaras
15127,Kashi Vishwanath Express,Banaras,New Delhi
65302,Kashipur Bareilly City MEMU,Kashipur Junction,Bareilly City
55308,Kashipur Kasganj Passenger,Kashipur Junction,Kasganj Junction
55310,Kashipur Lalkuan Passenger,Kashipur Junction,Lal Kuan Junction
55320,Kashipur Lalkuan Passenger,Pilibhit Junction,Bareilly City
65308,Kashipur Moradabad MEMU,Kashipur Junction,Moradabad Junction
55305,Kashipur Ramnagar Passenger,Kashipur Junction,Ramnagar
55313,Kashipur Ramnagar Passenger,Bareilly City,Lal Kuan Junction
78804,Katangi Gondia DEMU,Katangi,Gondia Junction
78806,Katangi Gondia DEMU,Katangi,Gondia Junction
78810,Katangi Gondia DEMU,Katangi,Gondia Junction
14119,Kathgodam Dehradun Express,Kathgodam,Dehradun
12207,Kathgodam Jammu Tawi Garib Rath Express,Kathgodam,Jammu Tawi
12210,Kathgodam Kanpur Garib Rath Express,Kathgodam,Kanpur Central
15044,Kathgodam Lucknow Junction Express,Kathgodam,Lucknow Junction
9076,Kathgodam Mumbai Super Fast Special,Kathgodam,Mumbai Central
12039,Kathgodam New Delhi Shatabdi Express,Kathgodam,New Delhi
63301,Katihar Barauni Memu,Katihar Junction,Barauni Junction
13034,Katihar Howrah Express,Katihar Junction,Howrah Junction
15712,Katihar Howrah Weekly Express,Katihar Junction,Howrah Junction
75745,Katihar Jogbani DEMU,Katihar Junction,Jogbani
75753,Katihar Jogbani DEMU,Katihar Junction,Jogbani
75755,Katihar Jogbani DEMU,Katihar Junction,Jogbani
75757,Katihar Jogbani DEMU,Katihar Junction,Jogbani
75759,Katihar Jogbani DEMU,Katihar Junction,Jogbani
75761,Katihar Jogbani DEMU,Katihar Junction,Jogbani
7563,Katihar Jogbani Special,Katihar Junction,Jogbani
55704,Katihar Malda Court Passenger,Katihar Junction,Malda Court
55770,Katihar Malda Court Passenger,Katihar Junction,Malda Court
55702,Katihar Malda Passenger,Katihar Junction,Malda Town
7540,Katihar Manihari DEMU Special,Katihar Junction,Manihari
7565,Katihar Manihari Special,Katihar Junction,Manihari
9190,Katihar Mumbai Holi Special,Katihar Junction,Mumbai Central
3201,Katihar Patna Exam Special,Rajgir,Patna Junction
15713,Katihar Patna Intercity Express,Katihar Junction,Patna Junction
55708,Katihar Radhikapur Passenger,Katihar Junction,Radhikapur
55727,Katihar Radhikapur Passenger,Katihar Junction,Radhikapur
55729,Katihar Radhikapur Passenger,Katihar Junction,Radhikapur
63303,Katihar Samastipur Memu,Katihar Junction,Samastipur Junction
63307,Katihar Samastipur Memu,Katihar Junction,Samastipur Junction
1406,Katihar Scsmt Kolhapur Summer Special,Katihar Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
75743,Katihar Siliguri DEMU,Katihar Junction,Siliguri Junction
15719,Katihar Siliguri Intercity Express,Katihar Junction,Siliguri Junction
63305,Katihar Sonpur Memu,Katihar Junction,Sonpur Junction
7326,Katihar SSS Hubballi AC Summer Special,Katihar Junction,Hubballi Junction
28182,Katihar Tatanagar Express,Katihar Junction,Tatanagar Junction
75734,Katihar Tejnarayanpur DEMU,Katihar Junction,Tejnarayanpur
75736,Katihar Tejnarayanpur DEMU,Katihar Junction,Tejnarayanpur
75738,Katihar Tejnarayanpur DEMU,Katihar Junction,Tejnarayanpur
75749,Katihar Telta DEMU,Katihar Junction,Telta
61603,Katni Bargawan MEMU Passenger,Katni Junction,Bargawan
19014,Katni Bhusaval Express,Katni Junction,Bhusaval Junction
68748,Katni Bilaspur MEMU,Katni Junction,Bilaspur Junction
11602,Katni Bina MEMU Express,Katni Junction,Bina Junction
61601,Katni Chirimiri MEMU,Katni Junction,Chirimiri
61618,Katni Itarsi MEMU,Katni Junction,Itarsi Junction
61620,Katni Murwara Bina MEMU,Katni Murwara,Bina Junction
61605,Katni Satna MEMU,Katni Junction,Satna Junction
66058,Katpadi Arakkonam MEMU,Katpadi Junction,Arakkonam Junction
66025,Katpadi Villupuram MEMU,Katpadi Junction,Villupuram Junction
66027,Katpadi Villupuram MEMU,Katpadi Junction,Villupuram Junction
63039,Katwa Ahamadpur Memu,Katwa Junction,Ahmadpur Junction
53055,Katwa Ahmedpur Passenger,Katwa Junction,Ahmadpur Junction
63019,Katwa Azimganj Memu,Katwa Junction,Azimganj Junction
63031,Katwa Azimganj Memu,Katwa Junction,Azimganj Junction
53005,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53009,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53011,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53013,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53015,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53017,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53435,Katwa Azimganj Passenger,Katwa Junction,Azimganj Junction
53053,Katwa Nimtita Passenger,Katwa Junction,Nimtita
